osm_id,osm_type,health_facility_type,access,toilets_disposal,staff_count_doctors,operator,toilets_handwashing,status,name,health_facility_level,opening_hours,operator_type,medical_system_western,staff_count_nurses,health_facility_bed,amenity,longitude,latitude,geom_type
6128608036,nodes,,,,,,,,Carole Martin,,,,,,,doctors,-75.9160611,45.2775402,POINT
6128608028,nodes,,,,,,,,Dr. Nancy Sinclair,,,,,,,doctors,-75.9158559,45.2773033,POINT
6128608027,nodes,,,,,,,,Spark Therapy,,,,,,,doctors,-75.9159092,45.2772644,POINT
3304216880,nodes,,,,,,,,Rockcliffe Dental Clinic,,,,,,,dentist,-75.6399998,45.4437653,POINT
5654076512,nodes,,,,,,,,Pharmacie La Colombe Pharmacy,,,,,,,pharmacy,-75.637427,45.4448816,POINT
4416285695,nodes,,,,,,,,Barrhaven Bright Smile Dental,,Mo-Fr 08:00-16:00,,,,,dentist,-75.7772677,45.2648711,POINT
5891250672,nodes,,,,,,,,Saterra,,,,,,,clinic,-75.9051848,45.2768884,POINT
6392347244,nodes,,,,,,,,The Clinic at Walmart,,,,,,,clinic,-75.8715981,45.2751469,POINT
5834617619,nodes,,,,,,,,Pharmasave,,,,,,,pharmacy,-75.6691571,45.3802753,POINT
6103824314,nodes,,,,,,,,Motion Matters,,,,,,,clinic,-75.6944738,45.420259,POINT
7341745840,nodes,,,,,,,,Lise St-Denis Pharmacy,,,,,,,pharmacy,-74.6090383,45.6097051,POINT
6403076449,nodes,,,,,,,,Dentistry on Bank,,,,,,,dentist,-75.6680359,45.3787926,POINT
5849340766,nodes,,,,,,,,Ottawa Orthotic Lab,,,,,,,clinic,-75.670651,45.3751789,POINT
6719002788,nodes,,,,,,,,Uniprix,,,,,,,pharmacy,-75.7141841,45.4264617,POINT
6580689209,nodes,,,,,,,,Remedy'sRx,,,,,,,pharmacy,-75.1806269,44.9015568,POINT
5874696206,nodes,,,,,,,,Core Connections Physiotherapy,,,,,,,clinic,-75.7551393,45.3917551,POINT
5827553147,nodes,,,,,,,,Hygiene Now,,,,,,,dentist,-75.6515752,45.0218304,POINT
